Name,Height,Mountain Group,Link
Triglav,2864 m,2800 m,https://www.hribi.net/gora/triglav/1/1
Montaž / Jôf di Montasio,2753 m,,https://www.hribi.net/gora/montaz___jof_di_montasio/1/629
Škrlatica,2740 m,,https://www.hribi.net/gora/skrlatica/1/2
Mali Triglav,2725 m,2700 m,https://www.hribi.net/gora/mali_triglav/1/3
Mangart,2679 m,,https://www.hribi.net/gora/mangart/1/4
Viš/Jof Fuart,2666 m,,https://www.hribi.net/gora/vis_jof_fuart/1/1041
Vrh Brda / Cima Verde,2661 m,,https://www.hribi.net/gora/vrh_brda___cima_verde/1/1344
Visoki Rokav,2646 m,,https://www.hribi.net/gora/visoki_rokav/1/5
Jalovec,2645 m,,https://www.hribi.net/gora/jalovec/1/6
Veliki Oltar,2621 m,,https://www.hribi.net/gora/veliki_oltar/1/7
Velika Martuljška Ponca,2602 m,,https://www.hribi.net/gora/velika_martuljska_ponca/1/8
Razor,2601 m,2600 m,https://www.hribi.net/gora/razor/1/9
Dolkova špica,2591 m,,https://www.hribi.net/gora/dolkova_spica/1/10
Visoki Kanin,2587 m,,https://www.hribi.net/gora/visoki_kanin/1/12
Rjavec,2571 m,,https://www.hribi.net/gora/rjavec/1/4122
Mali Kanin,2571 m,,https://www.hribi.net/gora/mali_kanin/1/13
Kanjavec (Zahodni vrh),2569 m,,https://www.hribi.net/gora/kanjavec_zahodni_vrh/1/1544
Kanjavec,2569 m,,https://www.hribi.net/gora/kanjavec/1/14
Glava v Zaplanji,2556 m,,https://www.hribi.net/gora/glava_v_zaplanji/1/17
Rogljica,2547 m,,https://www.hribi.net/gora/rogljica/1/19
Prisank / Prisojnik,2547 m,,https://www.hribi.net/gora/prisank___prisojnik/1/18
Rakova Špica,2545 m,,https://www.hribi.net/gora/rakova_spica/1/3178
Dovški križ,2542 m,,https://www.hribi.net/gora/dovski_kriz/1/22
Kredarica,2541 m,,https://www.hribi.net/gora/kredarica/1/2990
Rž,2538 m,,https://www.hribi.net/gora/rz/1/26
Rjavina,2532 m,,https://www.hribi.net/gora/rjavina/1/27
Špik nad Nosom / Foronon del Buinz,2531 m,,https://www.hribi.net/gora/spik_nad_nosom___foronon_del_buinz/1/1342
Triglavska vojašnica Viktorja Emanuela III,2520 m,,https://www.hribi.net/gora/triglavska_vojasnica_viktorja_emanuela_iii/1/105
Triglavski dom na Kredarici,2515 m,,https://www.hribi.net/gora/triglavski_dom_na_kredarici/1/23
Divja koza,2507 m,,https://www.hribi.net/gora/divja_koza/1/3954
Koštrunove špice,2502 m,,https://www.hribi.net/gora/kostrunove_spice/1/1282
Mala Martuljška Ponca,2501 m,,https://www.hribi.net/gora/mala_martuljska_ponca/1/1382
Stenar,2501 m,,https://www.hribi.net/gora/stenar/1/33
Spodnji Rokav,2500 m,2500 m,https://www.hribi.net/gora/spodnji_rokav/1/2248
Prestreljenik,2499 m,,https://www.hribi.net/gora/prestreljenik/1/35
Široka peč,2497 m,,https://www.hribi.net/gora/siroka_pec/1/1381
Poprovec,2496 m,,https://www.hribi.net/gora/poprovec/1/1546
Teme (Hribarice),2495 m,,https://www.hribi.net/gora/teme_hribarice/1/1545
Veliki Ozebnik,2480 m,,https://www.hribi.net/gora/veliki_ozebnik/1/40
Vrh Zelenic,2478 m,,https://www.hribi.net/gora/vrh_zelenic/1/4125
Špik,2472 m,,https://www.hribi.net/gora/spik/1/43
Mišeljski Konec,2464 m,,https://www.hribi.net/gora/miseljski_konec/1/46
Begunjski vrh,2461 m,,https://www.hribi.net/gora/begunjski_vrh/1/48
Planja,2453 m,,https://www.hribi.net/gora/planja/1/423
Vrh Laške Planje,2448 m,,https://www.hribi.net/gora/vrh_laske_planje/1/3597
Vršaki (Vzhodni vrh),2448 m,,https://www.hribi.net/gora/vrsaki_vzhodni_vrh/1/1540
Vrh Krnice,2441 m,,https://www.hribi.net/gora/vrh_krnice/1/1373
Vršaki (Južni vrh),2431 m,,https://www.hribi.net/gora/vrsaki_juzni_vrh/1/1543
Bivak Suringar,2430 m,,https://www.hribi.net/gora/bivak_suringar/1/1339
Kukova špica,2427 m,,https://www.hribi.net/gora/kukova_spica/1/402
Vršaki (Srednji vrh),2424 m,,https://www.hribi.net/gora/vrsaki_srednji_vrh/1/1541
Črni Vogel,2422 m,,https://www.hribi.net/gora/crni_vogel/1/4050
Vršaki (Vrh za Koritami),2422 m,,https://www.hribi.net/gora/vrsaki_vrh_za_koritami/1/1542
Špik Hude police / Cima di Terrarossa,2420 m,,https://www.hribi.net/gora/spik_hude_police___cima_di_terrarossa/1/1053
Pihavec,2419 m,,https://www.hribi.net/gora/pihavec/1/1052
