id,Name,URL,Title,Country,Mountain Range,Height(m),Coordinates,Type,Views,Popularity,Number of Images,Number of Paths,Number of GPS Paths,Registration Book,Description
1,Triglav,https://www.hribi.net/gora/triglav/1/1,Triglav,Slovenija,Julijske Alpe,2864,"46,37832°N 13,83648°E","vrh, bivak",1841519,100% (1. mesto),42,28,20,26,"Triglav je 2864 m visoka gora, ki se nahaja v osrčju Julijskih Alp. Z omenjeno višino je Triglav najvišja gora na ozemlju Slovenije, hkrati pa je tudi najvišja gora v Julijskih Alpah. Na vrhu stoji Aljažev stolp, katerega je leta 1895 postavil Jakob Aljaž, takratni župnik na Dovjem. V Aljaževem stolpu lahko v primeru nevihte vedri do 5 ljudi. Sicer pa je danes Aljažev stolp zaščiten kot kulturni spomenik in kot tak zelo pomemben pri ohranjanju kulturne dediščine. Triglav je svoj prvi obisk dočakal 26.8.1778, ko so se na vrh povzpeli štirje srčni možje, katerih spomenik stoji v Bohinju. Ti srčni možje so bili Luka Korošec, Matevž Kos, Štefan Rožič in Lovrenc Willomitzer. Sicer pa se nam z vrha Triglava odpre lep razgled, ki seže vse od Jadranskega morja, prek Dolomitov in Visokih Tur do Karavank, Kamniško Savinjskih Alp, Pohorja, prek skoraj celotne Slovenije do najvišjih vrhov Julijskih Alp."
2,Montaž / Jôf di Montasio,https://www.hribi.net/gora/montaz___jof_di_montasio/1/629,Montaž / Jôf di Montasio,Italija,Julijske Alpe,2753,"46,43577°N 13,43405°E",vrh,780045,98% (58. mesto),15,3,0,2,Montaž je ena izmed najmogočnejših in s svojimi 2753m drugo najvišja gora v Julijskih Alpah. Pristno slovensko ime te gore je Špik nad Policami. Na vrhu stoji križ ter zvonec posvečen alpinistu Riccardu Deffarju.
3,Škrlatica,https://www.hribi.net/gora/skrlatica/1/2,Škrlatica,Slovenija,Julijske Alpe,2740,"46,43277°N 13,82114°E",vrh,867873,99% (42. mesto),23,5,5,2,"Škrlatica je druga najvišja gora v Sloveniji. Na vrhu stoji križ, po katerem lahko s sosednjih gora hitro prepoznamo vrh. Ima tudi zelo prepoznavno severno-severozahodno steno, ki jo lepo vidimo z vršiške ceste. Z vrha je zelo lep pogled na vse vrhove nad dolino Vrata, še posebej na Triglav in sosednjo Dolkovo špico, proti vzhodu pa lepo vidimo težko dostopne Rokave. Vrh ima tudi vpisno skrinjico."
4,Mali Triglav,https://www.hribi.net/gora/mali_triglav/1/3,Mali Triglav,Slovenija,Julijske Alpe,2725,"46,37683°N 13,84315°E",vrh,534798,93% (270. mesto),4,3,2,16,"Mali Triglav je neizrazit vrh v glavnem grebenu Triglava. Kljub veliki višini pa se le redko kdo odloči za samostojen cilj. Večina jih sploh ne ve, da so bili na tretje najvišji v Sloveniji. Z vrha je lep pogled proti Triglavu in grebenski poti, ki pelje na vrh. Razgled seže tudi na vse ostale strani."
5,Mangart,https://www.hribi.net/gora/mangart/1/4,Mangart,"Italija , Slovenija",Julijske Alpe,2679,"46,43948°N 13,65457°E",vrh,1026726,100% (18. mesto),26,8,5,11,"Mangart (tudi Mangrt, obe zapisani obliki sta slovnično pravilni) je gora, ki v poletnem času dosega zelo velik obisk. Dostop na vrh namreč precej skrajša cesta, ki je speljana več kot 2000 m visoko. Vrh, ki je med najvišjimi v Sloveniji ima na vrhu križ in pod njim vpisno skrinjico. Vrh je prostoren in nam omogoča lep razgled na vse strani. Najlepše pa se vidi sosednji le nekaj metrov nižji Jalovec. Tudi italijanske Julijske Alpe so zelo lepo vidne."
6,Viš/Jof Fuart,https://www.hribi.net/gora/vis_jof_fuart/1/1041,Viš/Jof Fuart,Italija,Julijske Alpe,2666,"46,42996°N 13,49155°E",vrh,647594,97% (125. mesto),14,5,0,2,"Viš je 2666m visok vrh v zahodnih Julijskih Alpah. Z vrha na katerem stoji kip sv. Marije in ob njem križ je lep pogled po okoliških vrhovih, kjer izstopa mogočni Montaž. Razgled pa ob lepem vremenu seže vse od Visokih Tur v Avstriji do Karnijskih Alp."
7,Vrh Brda / Cima Verde,https://www.hribi.net/gora/vrh_brda___cima_verde/1/1344,Vrh Brda / Cima Verde,Italija,Julijske Alpe,2661,"46,43329°N 13,44233°E",vrh,458636,87% (457. mesto),2,1,0,,"Vrh Brda/Cima Verde je 2661 m visok vrh, ki se nahaja v osrčju najvišjih vrhov zahodnih Julijskih Alp. Z vrha se nam ob lepem vremenu odpre lep razgled na večino najvišjih vrhov Julijskih Alp."
8,Visoki Rokav,https://www.hribi.net/gora/visoki_rokav/1/5,Visoki Rokav,Slovenija,Julijske Alpe,2646,"46,43547°N 13,8283°E",vrh,529499,92% (280. mesto),2,2,0,,Visoki Rokav je najvišja gora v Sloveniji na katero ne pelje označena pot. Z vrha je zelo lep pogled na Škrlatico in Oltar. Zelo lep razgled po vsej državi. Vrh ima vpisno skrinjico.
9,Jalovec,https://www.hribi.net/gora/jalovec/1/6,Jalovec,Slovenija,Julijske Alpe,2645,"46,42154°N 13,68002°E",vrh,958263,99% (25. mesto),29,10,7,5,"Jalovec je z višino 2645 m, šesta najvišja gora v Sloveniji. Z vrha, ki se strmo spušča proti trem alpskim dolinam (Loška Koritnica, Tamar in Zadnja Trenta) se nam odpre lep razgled na najvišje vrhove Julijskih Alp. Vrh ima vpisno skrinjico in žig."
10,Veliki Oltar,https://www.hribi.net/gora/veliki_oltar/1/7,Veliki Oltar,Slovenija,Julijske Alpe,2621,"46,43919°N 13,82995°E",vrh,585402,95% (184. mesto),5,2,1,,"Oltar je mogočna gora na katero pa ne pelje nobena označena pot. Prav zato je Oltar zelo zaželen cilj pri planincih, ki imajo radi brezpotja. Vendar na to goro ne mora vsak vsaj plezanje druge stopnje ni kar tako pa čeprav le nekaj metrov. Tudi orientacijsko ni lahko najti poti čeprav nam pot kažejo možici. Oltar je torej gora, ki nam, da tisto kar smo od nje hoteli. Nudi nam lep razgled, mir, divjino in zadovoljstvo ob osvojenem vrhu. Vrh ima tudi vpisno skrinjico."
