mountain_id,route_name,route_time,route_difficulty,start_point,ferata,height_diff,gear_summer,gear_winter
1,Aljažev dom v Vratih - Triglav (Tominškova pot),6 h,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),B,1849,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Konec ceste na Pokljuki - Triglav (čez Planiko in Mali Triglav),6 h,zelo zahtevna označena pot,Konec ceste na Pokljuki (1340 m),,1524,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Dolina Krma - Triglav (čez Kredarico),6 h 10 min,zelo zahtevna označena pot,Dolina Krma (930 m),,1934,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Aljažev dom v Vratih - Triglav (čez Plemenice),6 h 30 min,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),B/C,1849,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Aljažev dom v Vratih - Triglav (čez Prag),6 h 10 min,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1849,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Dolina Krma - Triglav (čez Planiko in Mali Triglav),6 h,zelo zahtevna označena pot,Dolina Krma (930 m),,1934,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Koča pri Savici - Triglav (čez Triglavska jezera),8 h 45 min,zelo zahtevna označena pot,Koča pri Savici (653 m),,2211,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Zadnjica - Triglav (čez Dolič),7 h 15 min,zelo zahtevna označena pot,Zadnjica (650 m),,2214,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Rudno polje - Triglav (čez Kredarico),6 h 30 min,zelo zahtevna označena pot,Rudno polje (1347 m),,1517,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Konec  ceste na Pokljuki - Triglav (čez Planiko in Triglavsko škrbino),5 h 45 min,zelo zahtevna označena pot,Konec ceste na Pokljuki (1340 m),,1524,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Konec ceste na Pokljuki - Triglav (čez Kredarico),6 h 10 min,zelo zahtevna označena pot,Konec ceste na Pokljuki (1340 m),,1524,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Dolina Kot - Triglav,6 h 10 min,zelo zahtevna označena pot,Dolina Kot (950 m),,1914,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Dolina Krma - Triglav (čez Planiko in Triglavsko škrbino),5 h 45 min,zelo zahtevna označena pot,Dolina Krma (930 m),,1934,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Turkov rovt (Vrata) - Triglav (po dolini Za Cmirom),6 h 20 min,"lahko brezpotje, zelo zahtevna označena pot",Turkov rovt (Vrata) (941 m),,1923,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Zadnjica - Triglav (čez Plemenice),7 h 15 min,zelo zahtevna označena pot,Zadnjica (650 m),B/C,2214,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Rudno polje - Triglav (čez Kugyjevo polico),7 h 30 min,"zahtevno brezpotje, zelo zahtevna označena pot",Rudno polje (1347 m),,1517,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,"Planina Blato - Triglav (čez Grintovico, Planiko in Mali Triglav)",6 h 45 min,"lahka neoznačena steza, zelo zahtevna označena pot",Planina Blato (1147 m),,1717,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Uskovnica (Razpotje) - Triglav (čez Planiko in Mali Triglav),6 h 15 min,zelo zahtevna označena pot,Uskovnica (Razpotje) (1215 m),,1649,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Stara Fužina - Triglav (čez Planiko in Mali Triglav),7 h 45 min,zelo zahtevna označena pot,Stara Fužina (600 m),,2264,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Zadnjica - Triglav (čez Komar),7 h 15 min,zelo zahtevna označena pot,Zadnjica (650 m),,2214,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Planina Blato - Triglav (Za Kopico),7 h 45 min,zelo zahtevna označena pot,Planina Blato (1147 m),,1717,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Stara Fužina - Triglav (čez Planiko in Triglavsko škrbino),7 h 30 min,zelo zahtevna označena pot,Stara Fužina (600 m),,2264,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
